comment,likes,replies,date,timestamp,seconds,clean_comment,weight,label,confidence,sentiment_score,segment
"1:30:10 The presenters say: there is no Nazism in the government of Ukraine. Meanwhile, in Ukraine, the city of Nikopol named a street in honor of Pyotr Dyachenko. Now the street is named after the commander of the 31st battalion of the Schutzmannschaft SD, the head of the collaborationist units in the Wehrmacht and the SS division Galicia, Pyotr Dyachenko. No Nazism, firmly and clearly, yeah",11,3,03/04/2024,1:30:10,5410,"the presenters say: there is no nazism in the government of ukraine. meanwhile, in ukraine, the city of nikopol named a street in honor of pyotr dyachenko. now the street is named after the commander of the 31st battalion of the schutzmannschaft sd, the head of the collaborationist units in the wehrmacht and the ss division galicia, pyotr dyachenko. no nazism, firmly and clearly, yeah",31,neutral,0.71,0,180
OMG! Lex has drunk the koolaid. He just said that he doesn't think Biden is senile. I don't believe he really thinks that. He's fibbing. 2:24:00,12,2,03/01/2024,2:24:00,8640,omg! lex has drunk the koolaid. he just said that he doesn't think biden is senile. i don't believe he really thinks that. he's fibbing.,30,negative,0.91,-1,288
"9:59 I’m really trying to listen to this with an open mind, but I can’t stand him playing dumb.  He knows exactly why US foreign policy is to support Ukraine, and he knows that we would be doing it regardless of which party is in power.  It isn’t a partisan issue, it’s just what the US is going to do.  Of course they aren’t going to let Russia encroach on NATO territory unopposed",10,3,02/28/2024,9:59,599,"i’m really trying to listen to this with an open mind, but i can’t stand him playing dumb. he knows exactly why us foreign policy is to support ukraine, and he knows that we would be doing it regardless of which party is in power. it isn’t a partisan issue, it’s just what the us is going to do. of course they aren’t going to let russia encroach on nato territory unopposed",29,negative,0.73,-1,19
"11:20 NATO has never had a reason to produce more artillery. And by the looks of how the war is going, probably never will have to. It's a false equivalence Tucker is making. The combined military of NATO far outweighs Russia in almost every single metric. Including number of personel active in the military. Right now, NATO is not fighting Russia, Ukraine is fighting Russia, with spare materials and Hand-me-down military equipment from (not all) some NATO countries and the US.",7,5,02/28/2024,11:20,680,"nato has never had a reason to produce more artillery. and by the looks of how the war is going, probably never will have to. it's a false equivalence tucker is making. the combined military of nato far outweighs russia in almost every single metric. including number of personel active in the military. right now, nato is not fighting russia, ukraine is fighting russia, with spare materials and hand-me-down military equipment from (not all) some nato countries and the us.",29,negative,0.68,-1,22
30:18 he mentioned that the US government was up in his Signal account. I thought Signal (the app) was really secure and really private. I guess not.,8,4,02/28/2024,30:18,1818,he mentioned that the us government was up in his signal account. i thought signal (the app) was really secure and really private. i guess not.,28,neutral,0.59,0,60
"1:29:00 With Nazis he meant the AZOV brigades, that worship Bandera who did support Nazi Germany in WW2, the Azov is a branch of the Ukrainian army. Just freaking google it, who they are.",6,4,03/05/2024,1:29:00,5340,"with nazis he meant the azov brigades, that worship bandera who did support nazi germany in ww2, the azov is a branch of the ukrainian army. just freaking google it, who they are.",24,negative,0.6,-1,178
2:55:39 Truer words were never spoken.  Most guys who have kids will do anything it takes to make it work and provide for them.,9,2,03/03/2024,2:55:39,10539,truer words were never spoken. most guys who have kids will do anything it takes to make it work and provide for them.,24,neutral,0.47,0,351
"""If you have too much spyware on the phone it recks your battery"" 35:08 😂",11,0,02/29/2024,35:08,2108,"""if you have too much spyware on the phone it recks your battery"" 😂",22,negative,0.63,-1,70
"1:25:13 anybody notice how Lex reasserted himself when he thought Tucker wasn’t taking him serious and laughed at him? Respectable. All around great, constructive interview and I appreciate Lex’s hard work",8,2,03/08/2024,1:25:13,5113,"anybody notice how lex reasserted himself when he thought tucker wasn’t taking him serious and laughed at him? respectable. all around great, constructive interview and i appreciate lex’s hard work",22,positive,0.82,1,170
"22:40 Who's that :wacko MIT professor"" on the left that he's referring to?",6,3,02/29/2024,22:40,1360,"who's that :wacko mit professor"" on the left that he's referring to?",21,neutral,0.72,0,45
01:06:15 free press does not mean that you can say anything you like. Free press means that you can say anything if you have real proof to backup your claims.,6,3,03/27/2024,01:06:15,3975,free press does not mean that you can say anything you like. free press means that you can say anything if you have real proof to backup your claims.,21,neutral,0.76,0,132
24:37 a jab at Peter Zeihan 😂,9,1,03/07/2024,24:37,1477,a jab at peter zeihan 😂,21,neutral,0.75,0,49
"At 1:50 re translation on the fly. 
I had the opportunity to speak to several groups that spoke Arabic when I visited Egypt. There is a rhythm that my translator and I got to after a few sentences where he would translate what I had just said, it felt good. I will never forget this experience!",10,0,03/03/2024,1:50,110,"at re translation on the fly. i had the opportunity to speak to several groups that spoke arabic when i visited egypt. there is a rhythm that my translator and i got to after a few sentences where he would translate what i had just said, it felt good. i will never forget this experience!",20,positive,0.96,1,3
1:14:36 Stewart is generally credited with breaking the dam on the public conversation about the origin of COVID via his appearance on Colbert. I’m really enjoying the interview so far but this comment by Tucker that Stewart has never appealed to anything except power seems slightly off-base to me. You could also point to Stewart’s advocacy for the victims’ families from the September 11 disaster.,1,6,02/27/2024,1:14:36,4476,stewart is generally credited with breaking the dam on the public conversation about the origin of covid via his appearance on colbert. i’m really enjoying the interview so far but this comment by tucker that stewart has never appealed to anything except power seems slightly off-base to me. you could also point to stewart’s advocacy for the victims’ families from the september 11 disaster.,20,positive,0.72,1,149
"Lex Fridman, thank you very much for your kind words about Zelenskyy on1:22:53 from Odesa",8,1,02/29/2024,1:22:53,4973,"lex fridman, thank you very much for your kind words about zelenskyy on1: from odesa",19,positive,0.94,1,165
"16:22 - i think it  was a sarcasm , he was expecting Tucker to act like some other  ""western"" journalists before , and  was pleasently surprised that Tucker actually was very respective , and let him to talk in the way like he would .",2,5,03/01/2024,16:22,982,"- i think it was a sarcasm , he was expecting tucker to act like some other ""western"" journalists before , and was pleasently surprised that tucker actually was very respective , and let him to talk in the way like he would .",19,neutral,0.76,0,32
35:30 the irony of a surveillance company calling you to tell you someone ia surveillance you 😂😂😂,9,0,03/02/2024,35:30,2130,the irony of a surveillance company calling you to tell you someone ia surveillance you 😂😂😂,18,negative,0.77,-1,71
"1:00:20 8 days is quite a lot, you could also see outside Moscow and to see, how clean it looks there",6,2,03/05/2024,1:00:20,3620,"8 days is quite a lot, you could also see outside moscow and to see, how clean it looks there",18,positive,0.57,1,120
"10:40 ""I am not an expert on a region other than Western Domain ... I'm not Russian"" - Eastern Europe is not settled just by Russians. 
You should ask Estonians, Finns, Poles, Ukrainians, Lithuanians, Latvians what Russia is. Russia is the oppressor of those nations.",0,6,02/28/2024,10:40,640,"""i am not an expert on a region other than western domain ... i'm not russian"" - eastern europe is not settled just by russians. you should ask estonians, finns, poles, ukrainians, lithuanians, latvians what russia is. russia is the oppressor of those nations.",18,negative,0.68,-1,21
"1:32 Putin literally explained that part. He said that there are neo-nazis everywhere, including Russia, but only Ukraine is celebrating them: name streets after them, make them national heroes, fund them (Azov batalion).",7,1,02/28/2024,1:32,92,"putin literally explained that part. he said that there are neo-nazis everywhere, including russia, but only ukraine is celebrating them: name streets after them, make them national heroes, fund them (azov batalion).",17,neutral,0.55,0,3
"“As long as they’re willing to talk genuinely” 1:44 

Interviews Tucker",7,1,02/28/2024,1:44,104,“as long as they’re willing to talk genuinely” interviews tucker,17,neutral,0.64,0,3
"11:30
I believe that's because of the difference in the war doctrine. Russia focuses on the artillery force, while NATO focuses more on air force. OBVIOUSLY there's gonna be a difference in production of artillery ammunition. Just like there's a difference in the air force size (go google the difference in size)",7,1,02/27/2024,11:30,690,"i believe that's because of the difference in the war doctrine. russia focuses on the artillery force, while nato focuses more on air force. obviously there's gonna be a difference in production of artillery ammunition. just like there's a difference in the air force size (go google the difference in size)",17,neutral,0.85,0,23
"1:33:38 советую почитать историю о Степане Бандере. И понять, почему еще Венгрия и Польша выступают против этого движения.",4,3,12/09/2024,1:33:38,5618,"советую почитать историю о степане бандере. и понять, почему еще венгрия и польша выступают против этого движения.",17,neutral,0.82,0,187
23:00 him admitting chomsky might be right on something is a first,5,2,02/28/2024,23:00,1380,him admitting chomsky might be right on something is a first,16,positive,0.74,1,46
There it is. He said it out loud: “So you don’t get confused by your own lies.” (time: 4:20),5,2,02/29/2024,4:20,260,there it is. he said it out loud: “so you don’t get confused by your own lies.” (time: ),16,neutral,0.72,0,8
"“And you will know the truth, and that truth will set you free.”   John 8:32",8,0,02/29/2024,8:32,512,"“and you will know the truth, and that truth will set you free.” john",16,positive,0.69,1,17
1:41:07  - 1:42:59 the most important part of this whole interview that answers all the questions as to why,8,0,01/10/2025,1:41:07,6067,- the most important part of this whole interview that answers all the questions as to why,16,positive,0.63,1,202
26:35 that is just a lie. Putin's portraits are in every office. Propaganda of his party is everywhere. It's really frustrating listening to this knowing how it actually is.,5,2,02/28/2024,26:35,1595,that is just a lie. putin's portraits are in every office. propaganda of his party is everywhere. it's really frustrating listening to this knowing how it actually is.,16,negative,0.93,-1,53
"1:29:20 to understand “denazification” Google Stepana Bandera Avenue in Kiev (named so in 2016), then look up who Stepan Bandera was (Nazi collaborator)
By denazification Putin literally meant forcing Ukraine to get rid of all Nazi-supporting symbolism",2,4,02/29/2024,1:29:20,5360,"to understand “denazification” google stepana bandera avenue in kiev (named so in 2016), then look up who stepan bandera was (nazi collaborator) by denazification putin literally meant forcing ukraine to get rid of all nazi-supporting symbolism",16,neutral,0.49,0,178
"1:29:30 At this point I'm starting to have doubts about Mr. Carlson's education in history. No, Mr. Carlson, those were not only Germans. And the ""denazification"" is the official term used for the process happened in post 1945 Germany. One might even use Google to learn about it.",8,0,02/29/2024,1:29:30,5370,"at this point i'm starting to have doubts about mr. carlson's education in history. no, mr. carlson, those were not only germans. and the ""denazification"" is the official term used for the process happened in post 1945 germany. one might even use google to learn about it.",16,negative,0.74,-1,179
"The best part is from 1:29:15, when Karlson says, that Putin is realy stuped.",8,0,02/29/2024,1:29:15,5355,"the best part is from , when karlson says, that putin is realy stuped.",16,positive,0.73,1,178
"8:00 do you really believe, that the Russia history putin told is the real one? :D That's a joke",3,3,03/01/2024,8:00,480,"do you really believe, that the russia history putin told is the real one? :d that's a joke",15,negative,0.83,-1,16
"@lexfridman Lex, you really floundered on this on. Your constant push to say ""Russia bad"" in opposition to any time that Tucker observed something was just embarrassing. 54:00-57:00. Not sure how you justify Tucker saying ""Wikipedia isn't good"" and your response is only ""Well Russia has censorship"".",6,1,02/28/2024,54:00,3240,"@lexfridman lex, you really floundered on this on. your constant push to say ""russia bad"" in opposition to any time that tucker observed something was just embarrassing. -. not sure how you justify tucker saying ""wikipedia isn't good"" and your response is only ""well russia has censorship"".",15,negative,0.91,-1,108
"2:04:03 here in Canada we have MAID, no social resources, just MAID (that was an exaggeration because we do have some social resources) but Google MAID before considering moving to Canada.",3,3,03/01/2024,2:04:03,7443,"here in canada we have maid, no social resources, just maid (that was an exaggeration because we do have some social resources) but google maid before considering moving to canada.",15,neutral,0.75,0,248
"this guy talk so much, he forgot moscow is russia not europe 42:34",1,4,03/05/2024,42:34,2554,"this guy talk so much, he forgot moscow is russia not europe",14,negative,0.75,-1,85
"55:52 Lex's rebuttal attempt: ""Direct data is good, but it's challenging"". This guy, Im surprised he can tie his shoe laces ",7,0,03/03/2024,55:52,3352,"lex's rebuttal attempt: ""direct data is good, but it's challenging"". this guy, im surprised he can tie his shoe laces",14,negative,0.65,-1,111
"The best 3:45 start ever of a PodCast @lex !! You're doing such a good job, don't stop, keep on going.",7,0,02/27/2024,3:45,225,"the best start ever of a podcast @lex !! you're doing such a good job, don't stop, keep on going.",14,positive,0.99,1,7
"1:21:50 Tucker ""I believe in sovereignty"" Carlson is the poster boy for cognitive dissonance. He is a Putin supporter.",4,2,02/27/2024,1:21:50,4910,"tucker ""i believe in sovereignty"" carlson is the poster boy for cognitive dissonance. he is a putin supporter.",14,negative,0.87,-1,163
"25:00 there's this song by a very influential Polish artist ""kazik"" about Russia ""that country's powerful, its steppe massive you wouldnt grasp it with your mind if you thought for ages""",4,2,03/09/2024,25:00,1500,"there's this song by a very influential polish artist ""kazik"" about russia ""that country's powerful, its steppe massive you wouldnt grasp it with your mind if you thought for ages""",14,positive,0.58,1,50
"1:33:08 - противно слушать !!!!   https://youtu.be/86G9D4vwI5g?si=6QZ5vA4jFyabk4re  -- https://youtu.be/j0DJKpWzQLs - Азов   https://youtu.be/qLQ5OJp0zSE   -- Кадры Сдачи в Плен ""Азов""  Нацизма на Украине нет? После победы России на Украине нацизма не будет!",7,0,03/08/2024,1:33:08,5588,"- противно слушать !!!! -- - азов -- кадры сдачи в плен ""азов"" нацизма на украине нет? после победы россии на украине нацизма не будет!",14,neutral,0.84,0,186
"1:29:00 No, Tucker, there might be nazism in nations other then Germans. All it takes is nationalism + socialism.
Rwanda arguably had that. Israel arguably has is. You can be nazi and not be German.

But, yes. More often then not it's used as a derogatory term to slander someone you don't agree with.",4,2,02/28/2024,1:29:00,5340,"no, tucker, there might be nazism in nations other then germans. all it takes is nationalism + socialism. rwanda arguably had that. israel arguably has is. you can be nazi and not be german. but, yes. more often then not it's used as a derogatory term to slander someone you don't agree with.",14,negative,0.64,-1,178
"@57:53 Tucker Carlson thought #1 Moscow was ruins with rats, #2 His preconception of othe cutltures is so negative he is always positively impacted by going and seeing them. Wth is with this guy? Tucker is not a journalist he just plays one online.",5,1,02/29/2024,57:53,3473,"@ tucker carlson thought #1 moscow was ruins with rats, #2 his preconception of othe cutltures is so negative he is always positively impacted by going and seeing them. wth is with this guy? tucker is not a journalist he just plays one online.",13,negative,0.91,-1,115
"1:56:02 “I don’t think they’re allowed to speak russian in some places in Ukraine” is an absolute lie. Nobody was “attacking the language”, putin used that as one of 100 excuses to attack and Tucker seriously believes it?? Come to Kyiv you may freely speak russian on the streets in 2024, long AFTER the full scale invasion. That language claim has no basis in real life whatsoever",5,1,02/29/2024,1:56:02,6962,"“i don’t think they’re allowed to speak russian in some places in ukraine” is an absolute lie. nobody was “attacking the language”, putin used that as one of 100 excuses to attack and tucker seriously believes it?? come to kyiv you may freely speak russian on the streets in 2024, long after the full scale invasion. that language claim has no basis in real life whatsoever",13,negative,0.82,-1,232
"49:00 when he talks about sanctions... the reality is that Russia is not out of the SWIFT banking system and Russians do receive/send wire payments internationally. Neither are food items caught in the sanctions - anyone in Russia can import agricultural goods. He was seeking the effects of sanctions in a supermarket, the place full of items that are not sanctioned. Kinda makes his point moot.",2,3,03/01/2024,49:00,2940,"when he talks about sanctions... the reality is that russia is not out of the swift banking system and russians do receive/send wire payments internationally. neither are food items caught in the sanctions - anyone in russia can import agricultural goods. he was seeking the effects of sanctions in a supermarket, the place full of items that are not sanctioned. kinda makes his point moot.",13,neutral,0.58,0,98
10:30 this is insane - no one said Ukraine was gonna win this war. Most people thought it would be over in 2 weeks.,2,3,02/28/2024,10:30,630,this is insane - no one said ukraine was gonna win this war. most people thought it would be over in 2 weeks.,13,negative,0.9,-1,21
"8:23 Tucker’s excursion to a grocery store just showed how out of touch he is. His interview with Putin was not an interview at all,  he was walked all over. His view of the Ukrainian war and his comments here shows just what a tool he is.",2,3,02/28/2024,8:23,503,"tucker’s excursion to a grocery store just showed how out of touch he is. his interview with putin was not an interview at all, he was walked all over. his view of the ukrainian war and his comments here shows just what a tool he is.",13,negative,0.92,-1,16
"1:02:26 You don't get poisoned or shot in the back of the head in Canada, GB, France or The Netherlands for criticizing the government.",2,3,03/02/2024,1:02:26,3746,"you don't get poisoned or shot in the back of the head in canada, gb, france or the netherlands for criticizing the government.",13,negative,0.76,-1,124
"23:35 Guys, do a little reading about Navalny and his political history. He was zero threat to Putin and I don’t see how making him a political martyr benefits Putin. It’s so silly.",5,1,02/28/2024,23:35,1415,"guys, do a little reading about navalny and his political history. he was zero threat to putin and i don’t see how making him a political martyr benefits putin. it’s so silly.",13,negative,0.78,-1,47
"1:55:53  Lex should be ashamed for not calling this bullshit out: 
""you're not allowed to speak Russian in Ukraine""
Yes you fu*#& are. So disappointing from Lex :(",2,3,02/27/2024,1:55:53,6953,"lex should be ashamed for not calling this bullshit out: ""you're not allowed to speak russian in ukraine"" yes you fu*#& are. so disappointing from lex :(",13,negative,0.95,-1,231
Agreed with Tucker Carlson at 14:18:  “Anybody who doesn’t hate war shouldn’t have power.”   Trump is on the record having said “l love war”.  Ergo Carlson believes Trump should not be re-elected to power. One thing surely we can all agree on. And that is only one of dozens of reasons Trump should never again be allowed to set foot in the Oval Office. Thanks Tucker.,3,2,02/28/2024,14:18,858,agreed with tucker carlson at : “anybody who doesn’t hate war shouldn’t have power.” trump is on the record having said “l love war”. ergo carlson believes trump should not be re-elected to power. one thing surely we can all agree on. and that is only one of dozens of reasons trump should never again be allowed to set foot in the oval office. thanks tucker.,12,negative,0.52,-1,28
"1:39:30 😂😂😂😂

“NATO exists as a bulwark against Russian territorial expansion…and whether Russia has any territorial ambitions is another question, why would it, it’s the largest landmass is the world… whatever” 

Whatever is when he realizes he’s got cognitive dissonance.",3,2,02/29/2024,1:39:30,5970,"😂😂😂😂 “nato exists as a bulwark against russian territorial expansion…and whether russia has any territorial ambitions is another question, why would it, it’s the largest landmass is the world… whatever” whatever is when he realizes he’s got cognitive dissonance.",12,negative,0.53,-1,199
"52:55 ""there is no Google monopoly in Russia"". Lex, c'mon... there is. State affiliated Yandex.",3,2,02/28/2024,52:55,3175,"""there is no google monopoly in russia"". lex, c'mon... there is. state affiliated yandex.",12,neutral,0.56,0,105
"1:29:50
Именно поэтому украинские боевики используют немецкую символику времен третьего рейха",0,4,02/29/2024,1:29:50,5390,именно поэтому украинские боевики используют немецкую символику времен третьего рейха,12,neutral,0.78,0,179
On 50:04. It appears - Mr. Tucker is confusing Moscow with the Russia. These are two different things. They always have been. If Mr. Tucker ventured 100km away from Moscow's CBD - he would have seen it himself. But eight days is not enough to explore the country in depth.,3,2,03/02/2024,50:04,3004,on . it appears - mr. tucker is confusing moscow with the russia. these are two different things. they always have been. if mr. tucker ventured 100km away from moscow's cbd - he would have seen it himself. but eight days is not enough to explore the country in depth.,12,neutral,0.53,0,100
20:00 minutes in some of the most heartfelt things ive ever heard 💯,6,0,03/23/2024,20:00,1200,minutes in some of the most heartfelt things ive ever heard 💯,12,positive,0.96,1,40
"47:05 ""Crime is not something that appears organically"" that's gotta be one of the dumbest things I've ever heard. Of course it appears organically, in any large enough system with laws, some people will try to break those laws to gain an advantage whenever they can get away with it.",3,2,02/28/2024,47:05,2825,"""crime is not something that appears organically"" that's gotta be one of the dumbest things i've ever heard. of course it appears organically, in any large enough system with laws, some people will try to break those laws to gain an advantage whenever they can get away with it.",12,negative,0.86,-1,94
"45:40 wtf. This is complete nonsense, where did he get such information at all 🤦‍♂",0,4,03/01/2024,45:40,2740,"wtf. this is complete nonsense, where did he get such information at all 🤦‍♂",12,negative,0.94,-1,91
"1:25 - Kiev never was attacked, never was in danger, so - no, zeds no hero",6,0,03/01/2024,1:25,85,"- kiev never was attacked, never was in danger, so - no, zeds no hero",12,negative,0.51,-1,2
"Just before -2:59: 03 Tucker references Putin's address prior to the war.
  This address was released to the world as an article.
  I would expect politicalist like Carlson calling this interview ""journalism"" with his credentials should have accessed a cover of this address as preparation for an interview of this level.
  As a residential carpenter I read this Article on March 3 2022.

This speaks volumes of tucker's journalistic skill.",6,0,03/04/2024,2:59,179,"just before -: 03 tucker references putin's address prior to the war. this address was released to the world as an article. i would expect politicalist like carlson calling this interview ""journalism"" with his credentials should have accessed a cover of this address as preparation for an interview of this level. as a residential carpenter i read this article on march 3 2022. this speaks volumes of tucker's journalistic skill.",12,neutral,0.9,0,5
